node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
CAMANCHE_7_N003,36.42728982843137,62.10210889705883,97.74198085784315,755.0,752.0,669.0,86.0
CAMDEN_6_N011,111.76809367647058,187.9972502941177,327.02119024509807,156.0,159.0,141.0,15.0
CAMERON_7_N008,188.8382568872549,303.2752511029412,408.1270478431373,46.0,46.0,83.0,37.0
CAMINO_2_N001,21.319838284313725,33.220722867647055,46.718062254901966,1723.0,1804.0,1502.0,221.0
CAMPCOL_NODET,21.535754828431372,30.29094575980392,38.35944321078431,1703.0,1902.0,1897.0,194.0
CANAL_7_N001,115.55367333333334,201.6900956372549,322.84304531862745,137.0,133.0,145.0,8.0
CANTGEN_7_N002,148.49527678921567,258.706765,443.6753370588236,75.0,68.0,59.0,16.0
CANYONP1_7_GN001,25.710988333333333,39.62418987745098,47.22696696078431,1231.0,1231.0,1496.0,265.0
CANYONP2_7_GN001,25.710988333333333,39.62418987745098,47.22696696078431,1231.0,1231.0,1496.0,265.0
CANYONP3_7_GN001,25.710988333333333,39.62418987745098,47.22696696078431,1231.0,1231.0,1496.0,265.0
CANYONP4_7_GN001,25.710988333333333,39.62418987745098,47.22696696078431,1231.0,1231.0,1496.0,265.0
