node,n_months_active,n_months_blue_or_purple,size_cv,size_median_x12,size_max_share,same_kstar_months,persistence_label
CUTLER_NODE2,4,0,1.6911673071196482,2667214389.336,0.8827468007656636,2,sporadic (4/12 mo)
CUYAMAGN_7_N001,11,0,1.461137714842856,2743125425.3519993,0.4671072137158169,4,11/12 mo · variable
CUYAMAGN_7_NSB1,11,0,1.461137714842856,2743125425.3519993,0.4671072137158169,4,11/12 mo · variable
CYMRIC_1_B1,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
CYMRIC_1_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
CYMRIC_1_N004,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
DAGGET_7_N003,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N005,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N007,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N009,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N011,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N013,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N017,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAGGET_7_N018,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
DAIRYLND_1_N013,12,0,2.0373076415654103,483105733.335,0.6010940278621024,9,12/12 mo · volatile
DALREED_NODED,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
DALREED_NODEO,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
DALTONU_NODET,5,0,1.7515397196725495,3312625200.6000004,0.8248874716395709,2,5/12 mo · variable
