Aggregate PNode ID,PNode ID,DESCRIPTION,abbrev,Plant Code,Plant Name,State,Latitude,Longitude,match_score,second_best,placement
TH_SP15_GEN-APND,MCGPKGEN_7_B1,TH_SP15_GEN-APND,MCGPKGEN,,,,,,,,unplaced
TH_PACW_GEN-APND,AIRPORT_GNODE1,TH_PACW_GEN-APND,AIRPORT,62560.0,Airport Solar,OR,42.170176,-120.402317,7.0,0.0,precise
TH_SP15_GEN-APND,ATHOS_7_N006,TH_SP15_GEN-APND,ATHOS,63300.0,Athos Solar Project,CA,33.751283,-115.35499,5.0,0.0,precise
TH_SP15_GEN-APND,SUNGEN3G_7_N002,TH_SP15_GEN-APND,SUNGEN,52169.0,Midway Sunset Cogen,CA,35.2269,-119.6294,6.0,0.0,precise
TH_NP15_GEN-APND,GRIDLEY_6_N004,TH_NP15_GEN-APND,GRIDLEY,,,,,,,,unplaced
TH_SP15_GEN-APND,OBERON_7_N152,TH_SP15_GEN-APND,OBERON,65734.0,Oberon Solar Project,CA,33.72899,-115.38238,6.0,0.0,precise
TH_SP15_GEN-APND,CMBLND_7_N004,TH_SP15_GEN-APND,CMBLND,,,,,,,,unplaced
TH_ZP26_GEN-APND,WLDWDG2_7_N001,TH_ZP26_GEN-APND,WLDWDG,,,,,,,,unplaced
TH_SP15_GEN-APND,RERCU3_7_GN001,TH_SP15_GEN-APND,RERCU,,,,,,,,unplaced
TH_PACW_GEN-APND,PROSPEC2_NODE1,TH_PACW_GEN-APND,PROSPEC,3033.0,Prospect 2,OR,42.731237,-122.513974,7.0,0.0,precise
TH_NP15_GEN-APND,STOREY1_2_N006,TH_NP15_GEN-APND,STOREY,63735.0,Silverstrand Grid Energy Storage System,CA,34.20774,-119.079813,6.0,0.0,precise
TH_SP15_GEN-APND,LBEACH3G_7_N001,TH_SP15_GEN-APND,LBEACH,68023.0,BCE Seal Beach,CA,33.732761,-118.044508,6.0,0.0,precise
TH_NP15_GEN-APND,GWFGT1_7_N003,TH_NP15_GEN-APND,GWFGT,,,,,,,,unplaced
TH_SP15_GEN-APND,CENTANTE_7_N001,TH_SP15_GEN-APND,CENTANTE,59963.0,Central Antelope Dry Ranch C,CA,34.720499,-118.30046,8.0,0.0,precise
TH_SP15_GEN-APND,RANDSBG_7_N001,TH_SP15_GEN-APND,RANDSBG,,,,,,,,unplaced
TH_NP15_GEN-APND,WPBART_1_GN001,TH_NP15_GEN-APND,WPBART,,,,,,,,unplaced
TH_PACW_GEN-APND,PENDAIR_GNODE1,TH_PACW_GEN-APND,PENDAIR,,,,,,,,unplaced
TH_NP15_GEN-APND,CRANEVLY_6_N003,TH_NP15_GEN-APND,CRANEVLY,,,,,,,,unplaced
TH_NP15_GEN-APND,SLATE_7_N002,TH_NP15_GEN-APND,SLATE,,,,,,,,unplaced
TH_SP15_GEN-APND,CONTROLX_1_N008,TH_SP15_GEN-APND,CONTROLX,,,,,,,,unplaced
TH_SP15_GEN-APND,TULARE60_7_CN2,TH_SP15_GEN-APND,TULARE,,,,,,,,unplaced
