node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_contribution,n_months_active,size_cv,size_max_share,same_kstar_months,persistence_label,n_tpp_projects,earliest_isd_active,oldest_plan_year,max_slip_years,projects_summary
OLMSTEAD_7_GNODE1,WHITE,17.11044556372549,0.4328952272833286,filled,276052100.05,ITC:PACE_FOURCORNE345_ITC,,unknown,-1.1497532572964668,-0.7703948625658709,-0.7703948625658709,1.1497532572964668,8759,0.7384404489662855,5,1.7515397196725495,0.8248874716395709,2,5/12 mo · variable,0.0,,,,
OLS-AGNE_7_N001,WHITE,75.55972708333334,0.16482198599314082,filled,96989991.056,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,9.407164054470686,2.6165222010061977,2.6165222010061977,-9.407164054470686,8759,2.2853365464222293,11,0.8839647480988532,0.2240120620773131,5,11/12 mo · moderate,0.0,,,,
OLSEN_6_N001,WHITE,30.93639151960784,0.15543685311578984,filled,299346115.374,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,3.891636771125618,0.40075297622381156,0.40075297622381156,-3.891636771125618,8759,1.0194475847958968,10,1.2951518072556591,0.3797253030239237,3,10/12 mo · variable,0.0,,,,
OMWD_6_GN001,WHITE,57.16750268382353,0.17127170153427992,filled,276052100.05,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-2.6657743261094047,2.275790120629054,2.275790120629054,2.6657743261094047,8759,1.8943661845446105,9,0.3777499860656905,0.16607386864019,2,9/12 mo · stable,0.0,,,,
ONEIDA_NODE1,WHITE,11.960410012254904,0.47405981329257224,filled,222267865.778,ITC:PACE_FOURCORNE345_ITC,,unknown,-0.36201010955687846,-0.6968682270078617,-0.6968682270078617,0.36201010955687846,8759,0.6448474307162821,4,1.6911673071196482,0.8827468007656636,2,sporadic (4/12 mo),0.0,,,,
ONEIDA_NODE2,WHITE,11.960410012254904,0.47405981329257224,filled,222267865.778,ITC:PACE_FOURCORNE345_ITC,,unknown,-0.36201010955687846,-0.6968682270078617,-0.6968682270078617,0.36201010955687846,8759,0.6448474307162821,4,1.6911673071196482,0.8827468007656636,2,sporadic (4/12 mo),0.0,,,,
ONEIDA_NODE3,WHITE,11.960410012254904,0.47405981329257224,filled,222267865.778,ITC:PACE_FOURCORNE345_ITC,,unknown,-0.36201010955687846,-0.6968682270078617,-0.6968682270078617,0.36201010955687846,8759,0.6448474307162821,4,1.6911673071196482,0.8827468007656636,2,sporadic (4/12 mo),0.0,,,,
ONEILPMP_7_N001,RED,110.19190645833332,0.12170593770674792,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-4.425168170691459,-0.8957273423352428,-0.8957273423352428,4.425168170691459,8759,3.2488380008704985,11,0.8783640954776681,0.2640096640958865,5,11/12 mo · moderate,0.0,,,,
ONEILPMP_7_N002,RED,110.19190645833332,0.12170593770674792,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-4.425168170691459,-0.8957273423352428,-0.8957273423352428,4.425168170691459,8759,3.2488380008704985,11,0.8783640954776681,0.2640096640958865,5,11/12 mo · moderate,0.0,,,,
ONEILPMP_7_N003,RED,110.19190645833332,0.12170593770674792,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-4.425168170691459,-0.8957273423352428,-0.8957273423352428,4.425168170691459,8759,3.2488380008704985,11,0.8783640954776681,0.2640096640958865,5,11/12 mo · moderate,0.0,,,,
