physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,1.0,94500.51938,J.HINDS2,MIRAGE,230.0,,700.0,voltage proxy 230 kV,0
NOM:35658_LS ESTRS_115_35659_NORTECH _115_BR_1 _1,1.0,88588.90418000001,LSESTRS,NORTECH,115.0,,250.0,voltage proxy 115 kV,0
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1,4.0,78941.07853000001,SANGER,MCCALL,115.0,,250.0,voltage proxy 115 kV,0
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,1.0,71239.42178,SYCAMORE,PENSQTOS,230.0,,700.0,voltage proxy 230 kV,0
NOM:34898_BAKRSFLD_70.0_34902_MAGUNDEN_70.0_BR_1 _1,1.0,64172.151,BAKRSFLD,MAGUNDEN,70.0,,150.0,voltage proxy 70 kV,0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,57476.86682,,,,,,unknown,0
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1,1.0,57472.568770000005,TAFT,Q356TAP,70.0,,150.0,voltage proxy 70 kV,0
ITC:YU XFMR2 A  69KV,1.0,44654.09357,YU,,69.0,,150.0,voltage proxy 69 kV,0
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,1.0,42989.50666,MUSTANGS,GATES,230.0,,700.0,voltage proxy 230 kV,0
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1,1.0,42342.16479,TESLA,,115.0,,250.0,voltage proxy 115 kV,0
NOM:22420_SILVERGT_69.0_22144_CORONADO_69.0_BR_1 _1,1.0,42223.540369999995,SILVERGT,CORONADO,69.0,,150.0,voltage proxy 69 kV,0
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1,1.0,41495.12456,NEWARKD,NORTHERN,115.0,,250.0,voltage proxy 115 kV,0
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,4.0,41258.93755,MESACAL,LAGUBELL,230.0,,700.0,voltage proxy 230 kV,0
NOM:22480_MIRAMAR _69.0_22756_SCRIPPS _69.0_BR_1 _1,2.0,34940.26158,MIRAMAR,SCRIPPS,69.0,,150.0,voltage proxy 69 kV,0
NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81,1.0,30712.49905,MIGUEL,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1,1.0,29923.37337,MCSWAINJ,EXCHEQUR,70.0,,150.0,voltage proxy 70 kV,0
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1,1.0,29505.26322,SNJQJCT,GFFNJCT,70.0,,150.0,voltage proxy 70 kV,0
NOM:37563_MELONES _230_30800_WILSON  _230_BR_1 _1,4.0,27854.864749999997,MELONES,WILSON,230.0,,700.0,voltage proxy 230 kV,0
NOM:33500_MELNS JA_115_33509_AVENATP1_115_BR_1 _1,3.0,27692.406390000004,MELNSJA,AVENATP1,115.0,,250.0,voltage proxy 115 kV,0
NOM:22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1,1.0,27342.51221,SUNCREST,SUNCTP2,230.0,,700.0,voltage proxy 230 kV,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,1.0,26513.651339999997,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:33501_FRGTNTP1_115_33500_MELNS JA_115_BR_1 _1,1.0,25336.738039999997,FRGTNTP1,MELNSJA,115.0,,250.0,voltage proxy 115 kV,0
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1,4.0,24486.11795,DRUM,BRNSWKT2,115.0,,250.0,voltage proxy 115 kV,0
